order_id,products
17,[47766 39275 48896]
34,[13176 21137 44632  7948 37947 43504 18618  5242]
137,[24852 44422 44142  5134 38689 25890 23794 28934]
182,[ 5479  3397 44389 39322 31737]
257,[24852 27966 21137 22035 36929 45013 28476]
313,[21903 45007 13198 28535 46906 34969 25890 12409]
353,[35561 22897]
386,"[41787 42356 45066 47766 21903 42265 17794 41220 15872 49520  6046 21479
 37935 38281 34809]"
414,"[14947 19006 48988 27845 31215 43165 20392 20564 29077 31730 19125 41007
 34685]"
418,[30489 47766 41950  4605 12036 38357]
437,[16797 22825 27966 26209  2309   365 14221 22990]
452,"[13176 27966 45066 47209 36606 20995 44632 22935 47672 10017  4421 38273
 16759 13166 11422  2923 28666 34256  1335 42345 30388 27553]"
474,[41950]
492,"[16589 27344 21137 49683 25146 26604  8424 44632 44142 46667 13269  4605
 26620 33232 24499 13702 13251 20542 14833 40761 10173 29950 49475]"
497,[17122 40592  1831 31964 27275]
513,None
517,"[20574 24852 33754 37646  9387 14992 40604 43961  8424  5077 32734 18849
 25890 44560  9071 41593 31371 13819 27355 21626 43555]"
604,[16797 42265 12099]
680,[7693 7743]
758,[651]
759,"[26209 47626 39993  4421 19488  7644 39527 35752 14573 28913 24906 36854
 36386  3390 30082 38374 27398 29193 22186 37917 20553 34536  4290]"
887,[24852 21137 49683 25647  4600 41665  3601 12144 37542]
1161,[31717 15937 31506 47626 33198]
1195,[2707]
1304,[24852 26209 27104 42585 48109 45264 14218]
1408,[46676 31717 47912 34969  2086  8174  2091 10163 20460 16428]
1513,[29373]
1564,[24382 46677 25169  4047 42886]
1727,None
1789,[20468 42746]
1802,"[13176 21709 18370 21137  8424  4920 43295 35221 20114 34969 10749 33043
 19048 44514 37029  3896  4960 41665 27235 23744 16874 33796 17871  4981
 46331 46565 20733]"
1809,[5258]
1810,[45007  6182 44643 19660]
1867,[14992 31717 38456 34530 31958]
1932,[21903 35417]
1962,[14715]
2034,[13176 12845 19678 27104 47626 20114 49075 26283 13944]
2070,[24852  5535  6422 19986]
2102,None
2184,[47209  9076 32655  5922  7649 19248 30966 33540 31469]
2247,[13176 17706 36076  2974 33198 13838  5597]
2267,[46088 38569]
2297,[ 7751 28441]
2345,"[13176 47766  4920 28985 47626 41290 46709 12916 14129 37141 44116 48301
 29268 16282]"
2421,"[49683 21462 42347 24799 28465 13263 21938 12193 32578 10753 35121 36493
 25817  6400 10874  2592]"
2481,"[13176 24852 30776 36205 23288  7500 18176 30795 20564 27573 29363 47196
 45311 42368]"
2671,"[13176 45066 42828 26940 47626 22935 34243 46667 36076 43713 25466 38480
 16303]"
2721,[24852 47626 43772 28204 14897    45 11461]
2806,[47031 10957  4942 38511 22866 47988 19953]
2887,[13176 24852 22935 42701 35939 36389]
2990,[13176 37646 40706  8424 30391 46906  4656]
3013,[28985 34126 47626  5876 38312 37065 48220 40078]
3188,[21137 38988 26856]
3221,"[49235 27966 21903 43352 43967 30252 33787  9076  1244 35883 35045 27433
 30142 32739]"
3223,"[24852 30489 11777  4920 24184 28535 28986 22935 43086 28199  6348 18362
 23644 28745  8539 44948 14702 40469  1576 32387]"
3265,[24852 48812  5884 27020]
